category,headline,short_description,content
Health,Revisiting the Pain of Mental Illness in America: What Can We Learn From Robin Williams' Suicide?,"We need to show all of America's nearly 43 million people with mental illness the same compassion and empathy we've shown Robin Williams. They all deserve to live a full life, all of us need to benefit from what they have to give, and it can be done at a fraction of the cost of the alternatives.","Revisiting the Pain of Mental Illness in America: What Can We Learn From Robin Williams' Suicide? We need to show all of America's nearly 43 million people with mental illness the same compassion and empathy we've shown Robin Williams. They all deserve to live a full life, all of us need to benefit from what they have to give, and it can be done at a fraction of the cost of the alternatives."
Business,Trapped Inside The Monster Energy Frat House,A woman who worked at the drink company said she was sexually harassed and abruptly fired. This is what can happen when a boys club runs amok.,Trapped Inside The Monster Energy Frat House A woman who worked at the drink company said she was sexually harassed and abruptly fired. This is what can happen when a boys club runs amok.
Health,The Best New Year's Resolution? Marry Yourself,"Rather, I invite you to step into the mirror and commit to this being your year to fall in love with you. Take in your beauty","The Best New Year's Resolution? Marry Yourself Rather, I invite you to step into the mirror and commit to this being your year to fall in love with you. Take in your beauty"
Entertainment,Miranda Cosgrove Says She'd 'Love' To Do An 'iCarly' Reunion,Carly could be coming back!,Miranda Cosgrove Says She'd 'Love' To Do An 'iCarly' Reunion Carly could be coming back!
Business,iHeartMedia Files For Chapter 11 Bankruptcy Protection,The company has reached an agreement with shareholders of more than $10 billion of its outstanding debt.,iHeartMedia Files For Chapter 11 Bankruptcy Protection The company has reached an agreement with shareholders of more than $10 billion of its outstanding debt.
Entertainment,Huge Debate Blows Up Over Which 'Friends' Character Would Have Voted For Trump,"""I can't believe some of these people saying Ross. He is a fact checker which is the total opposite of a Trump voter.""","Huge Debate Blows Up Over Which 'Friends' Character Would Have Voted For Trump ""I can't believe some of these people saying Ross. He is a fact checker which is the total opposite of a Trump voter."""
Politics,Trump Terrifies World Leaders,President Barack Obama is trying but failing to reassure foreign leaders convinced that Donald Trump will be the next president,Trump Terrifies World Leaders President Barack Obama is trying but failing to reassure foreign leaders convinced that Donald Trump will be the next president
Health,"Truly, Deeply Shifting -- After Winter Solstice 2012","If we bought into the shift of the last year as bringing the end of systems, then that includes personal ones. Our cherished","Truly, Deeply Shifting -- After Winter Solstice 2012 If we bought into the shift of the last year as bringing the end of systems, then that includes personal ones. Our cherished"
Tech,"Space Junk Too Risky For Astronaut, Spacewalk Delayed",It’s the first time a spacewalk has been canceled because of threat from space junk.,"Space Junk Too Risky For Astronaut, Spacewalk Delayed It’s the first time a spacewalk has been canceled because of threat from space junk."
Entertainment,'Affleck v Affleck' Is The Superhero Film You Secretly Yearn For,Affleck on fleek.,'Affleck v Affleck' Is The Superhero Film You Secretly Yearn For Affleck on fleek.
Entertainment,Twitter Goes To 11 With #TrumpIQSongs,"""99 Problems (And Not A Right Answer On One).""","Twitter Goes To 11 With #TrumpIQSongs ""99 Problems (And Not A Right Answer On One)."""
Business,I Promise Not to Be Cheery If You Promise to Stop Stereotyping,"If you're a woman in the workplace, you need to stop smiling. Why? Because according to a just-released study, ""women [leaders] who looked cheerful were judged to be less willing to lead"" than men who displayed similar emotions.","I Promise Not to Be Cheery If You Promise to Stop Stereotyping If you're a woman in the workplace, you need to stop smiling. Why? Because according to a just-released study, ""women [leaders] who looked cheerful were judged to be less willing to lead"" than men who displayed similar emotions."
Business,Staggering Cost Of Work Hazards Revealed,"TAYLORSVILLE, N.C. -- Sheri Farley walks with a limp. The only job she could hold would be one where she does not have to","Staggering Cost Of Work Hazards Revealed TAYLORSVILLE, N.C. -- Sheri Farley walks with a limp. The only job she could hold would be one where she does not have to"
Entertainment,Why Is Coming Out Of The Closet Not An Issue Anymore?,Why is coming out of the closet not an issue anymore?,Why Is Coming Out Of The Closet Not An Issue Anymore? Why is coming out of the closet not an issue anymore?
Health,Can Laughter Count As Exercise?,"For real health benefits, stick to 30 minutes of cardiovascular exercise four to five times per week, as recommend by the","Can Laughter Count As Exercise? For real health benefits, stick to 30 minutes of cardiovascular exercise four to five times per week, as recommend by the"
Politics,Hillary Clinton Met With A Heartwarming Surprise On Thanksgiving Day,"""We are thankful for Hillary Clinton, an American hero!""","Hillary Clinton Met With A Heartwarming Surprise On Thanksgiving Day ""We are thankful for Hillary Clinton, an American hero!"""
Sports,ESPN's Holly Rowe Says Her Cancer Has Returned,The network has renewed her contract as she battles cancer and keeps working.,ESPN's Holly Rowe Says Her Cancer Has Returned The network has renewed her contract as she battles cancer and keeps working.
Business,Unequal Realities Inside The Jobs Report,Today's U.S. Labor Department report on jobs confirms what we've known for more than a year: We have entered a new normal,Unequal Realities Inside The Jobs Report Today's U.S. Labor Department report on jobs confirms what we've known for more than a year: We have entered a new normal
Sports,The U.S. Women's Hockey Team Had Boycotted For Fair Pay. Now They're World Champs,It's the team's eighth world champion gold medal and its first big win for fair pay.,The U.S. Women's Hockey Team Had Boycotted For Fair Pay. Now They're World Champs It's the team's eighth world champion gold medal and its first big win for fair pay.
Entertainment,Friday Night Lights Puppy Bowl (VIDEO),"Animal Planet's annual Puppy Bowl has become another can't-miss tradition on Super Bowl Sunday, one that also does a lot","Friday Night Lights Puppy Bowl (VIDEO) Animal Planet's annual Puppy Bowl has become another can't-miss tradition on Super Bowl Sunday, one that also does a lot"
Sports,Outside Law Firm To Probe U.S. Olympics And Gymnastics Officials Over Larry Nassar Scandal,Independent investigators are scrutinizing the institutions that survivors and their families say knew about his abuse but tried to cover it up.,Outside Law Firm To Probe U.S. Olympics And Gymnastics Officials Over Larry Nassar Scandal Independent investigators are scrutinizing the institutions that survivors and their families say knew about his abuse but tried to cover it up.
Politics,Liz Cheney Slaps Down Trump's Attempt To Redefine 2020 Election As 'THE BIG LIE',"“The 2020 presidential election was not stolen,” the Wyoming Republican correctly noted on Monday.","Liz Cheney Slaps Down Trump's Attempt To Redefine 2020 Election As 'THE BIG LIE' “The 2020 presidential election was not stolen,” the Wyoming Republican correctly noted on Monday."
Tech,Video Shows What's Really Going On When You Text During Meetings,What if your smartphone notifications came to life?,Video Shows What's Really Going On When You Text During Meetings What if your smartphone notifications came to life?
Entertainment,Serena Williams Gets Personal In New HBO Documentary Series,"“I put so much pressure on myself. I want to make sure that I’m the best.""","Serena Williams Gets Personal In New HBO Documentary Series “I put so much pressure on myself. I want to make sure that I’m the best."""
Business,Starbucks Under Fire For Giving Less Parental Leave To Hourly Workers,"""This is a moral issue.""","Starbucks Under Fire For Giving Less Parental Leave To Hourly Workers ""This is a moral issue."""
Sports,The ESPN Body Issue Normalizes Sexual Objectification,ESPN is well aware that sex sells.,The ESPN Body Issue Normalizes Sexual Objectification ESPN is well aware that sex sells.
Entertainment,Britney Spears Birthday: Singer's Best Music Videos,"It’s Britney’s birthday, y’all. The pop songstress turned reality television judge celebrates the big 31 today. Wowza. It","Britney Spears Birthday: Singer's Best Music Videos It’s Britney’s birthday, y’all. The pop songstress turned reality television judge celebrates the big 31 today. Wowza. It"
Politics,Hillary Clinton And Donald Trump Face Off In Highly-Anticipated Debate,"The tension and stakes of the contest, could not be any higher.","Hillary Clinton And Donald Trump Face Off In Highly-Anticipated Debate The tension and stakes of the contest, could not be any higher."
Tech,Microsoft's One-Handed Keyboard Will Give Your Thumb A Break,Finally.,Microsoft's One-Handed Keyboard Will Give Your Thumb A Break Finally.
Entertainment,Dr. Drew And Nancy Grace Duke It Out Over Marijuana Legalization,,Dr. Drew And Nancy Grace Duke It Out Over Marijuana Legalization 
Tech,6.5 Million Reportedly Pay For Apple Music Streaming Service,Another 8.5 million customers have signed up three-month trials.,6.5 Million Reportedly Pay For Apple Music Streaming Service Another 8.5 million customers have signed up three-month trials.
Tech,Strange Supernova Has Astronomers Scratching Their Heads,,Strange Supernova Has Astronomers Scratching Their Heads 
Business,Coal Company Officials Plead Guilty After Hiding Black Lung Dangers,So far three former officials with Armstrong Coal have acknowledged their part in a fraud made public by HuffPost.,Coal Company Officials Plead Guilty After Hiding Black Lung Dangers So far three former officials with Armstrong Coal have acknowledged their part in a fraud made public by HuffPost.
Politics,Trump Backers Blasting Clinton For Poor Vetting Should Maybe Think This Through,"Did they miss Don King, peddling spin on Trump's behalf?","Trump Backers Blasting Clinton For Poor Vetting Should Maybe Think This Through Did they miss Don King, peddling spin on Trump's behalf?"
Politics,Wag The Dog -- How Al Qaeda Played Donald Trump And The American Media,Responsibility for the chemical event in Khan Sheikhoun is still very much in question.,Wag The Dog -- How Al Qaeda Played Donald Trump And The American Media Responsibility for the chemical event in Khan Sheikhoun is still very much in question.
Tech,BlackBerry Maker RIM Reportedly Considers Splitting Off Smartphone Business,(Reporting by Kylie MacLellan; Editing by Catherine Evans) An alternative option would be to keep the company together but,BlackBerry Maker RIM Reportedly Considers Splitting Off Smartphone Business (Reporting by Kylie MacLellan; Editing by Catherine Evans) An alternative option would be to keep the company together but
Business,"QE3 Works, So Please Don't Mess With It!",You are doing your job in putting 1.1 million older workers back to work of the 1.6 million jobs created over the past year,"QE3 Works, So Please Don't Mess With It! You are doing your job in putting 1.1 million older workers back to work of the 1.6 million jobs created over the past year"
Tech,Does This Headline Look Blue To You? Then It Might Also Feel Like A Triangle.,Research shows that synesthesia may extend in more directions than we thought.,Does This Headline Look Blue To You? Then It Might Also Feel Like A Triangle. Research shows that synesthesia may extend in more directions than we thought.
Health,Gross Ingredients In Processed Foods,"""I’m beginning to see now that consumers are pushing back,"" Michael Doyle, Ph.D., director of the Center for Food Safety","Gross Ingredients In Processed Foods ""I’m beginning to see now that consumers are pushing back,"" Michael Doyle, Ph.D., director of the Center for Food Safety"
Tech,OU Kosher: Orthodox Union Releases App For Keeping Kosher During Passover And Beyond,"""What's kosher and what isn't during Passover becomes so much more complicated because certain kinds of products that are","OU Kosher: Orthodox Union Releases App For Keeping Kosher During Passover And Beyond ""What's kosher and what isn't during Passover becomes so much more complicated because certain kinds of products that are"
Business,Balancing Creativity Against Business in the Music Industry,The single biggest challenge for an artist regarding the music business is the eye-opening truth they discover as they pursue their dream. The business side of music always reveals gut-wrenching realities.,Balancing Creativity Against Business in the Music Industry The single biggest challenge for an artist regarding the music business is the eye-opening truth they discover as they pursue their dream. The business side of music always reveals gut-wrenching realities.
Business,"'Cocoon House' Features Organic, Eco-Friendly Design [PHOTOS]",But Planning Korea isn’t alone in its emphasis on organic and environmentally-friendly architecture. Swedish furniture company,"'Cocoon House' Features Organic, Eco-Friendly Design [PHOTOS] But Planning Korea isn’t alone in its emphasis on organic and environmentally-friendly architecture. Swedish furniture company"
Politics,Warren Seen As Key Figure In Uniting Dems,"As the Democratic primary heads toward a predictable but potentially acrimonious conclusion, questions abound about how the","Warren Seen As Key Figure In Uniting Dems As the Democratic primary heads toward a predictable but potentially acrimonious conclusion, questions abound about how the"
Business,Unions Plot Major Push After Landmark Labor Ruling,"Union leaders see the potential impact of the ruling as being a ""game changer.""","Unions Plot Major Push After Landmark Labor Ruling Union leaders see the potential impact of the ruling as being a ""game changer."""
Health,Hypersomnia Sleep Disorder Caused Woman To Sleep 18 Hours A Day (VIDEO),Sumner slept up to 18 hours a day before taking a leave of absence from her job as a lawyer. Emory researchers found that,Hypersomnia Sleep Disorder Caused Woman To Sleep 18 Hours A Day (VIDEO) Sumner slept up to 18 hours a day before taking a leave of absence from her job as a lawyer. Emory researchers found that
Business,IMF May Be Right in Suggesting Countries Raise Fuel Taxes,"It's tough to find any drivers who relish digging into their wallets to fill up at the pump. According to the International Monetary Fund, though, not only should fuel taxes jump by more than 50 percent, the increase should have Canadians whistling a happy tune. Now, here's the real kicker: The IMF is right.","IMF May Be Right in Suggesting Countries Raise Fuel Taxes It's tough to find any drivers who relish digging into their wallets to fill up at the pump. According to the International Monetary Fund, though, not only should fuel taxes jump by more than 50 percent, the increase should have Canadians whistling a happy tune. Now, here's the real kicker: The IMF is right."
Health,"Handshakes Reinforce Positive Impressions In The Brain, Study Suggests","Previous studies have looked at static images. Combined with insight into brain activity, sweat response, and feedback from","Handshakes Reinforce Positive Impressions In The Brain, Study Suggests Previous studies have looked at static images. Combined with insight into brain activity, sweat response, and feedback from"
Business,"Brave: The Heads-Down, No-Helmet Approach to Life","When he was 12-years-old, Robin was climbing up Lookout Mountain in Colorado on his first road bike at 12 miles an hour long after dark one night. He heard a siren, and a police officer stopped him; it was way past curfew.","Brave: The Heads-Down, No-Helmet Approach to Life When he was 12-years-old, Robin was climbing up Lookout Mountain in Colorado on his first road bike at 12 miles an hour long after dark one night. He heard a siren, and a police officer stopped him; it was way past curfew."
Entertainment,Charlie Sheen Auctions Off Prized Babe Ruth Memorabilia,Sheen was the owner of the Bambino's 1927 World Series ring.,Charlie Sheen Auctions Off Prized Babe Ruth Memorabilia Sheen was the owner of the Bambino's 1927 World Series ring.
Politics,Attorneys General File Petition To D.C. Court To Block EPA Carbon Rule For Power Plants,"WASHINGTON, Aug 13 (Reuters) - Fifteen state attorneys general petitioned a federal court in Washington on Thursday to block","Attorneys General File Petition To D.C. Court To Block EPA Carbon Rule For Power Plants WASHINGTON, Aug 13 (Reuters) - Fifteen state attorneys general petitioned a federal court in Washington on Thursday to block"
Tech,Eco-Friendly Smart Cars Take Spotlight At Major Auto Show -- And They Look Awesome,"Nissan, Toyota and Honda are embracing smart, green technology, but winning social acceptance in Japan remains a challenge.","Eco-Friendly Smart Cars Take Spotlight At Major Auto Show -- And They Look Awesome Nissan, Toyota and Honda are embracing smart, green technology, but winning social acceptance in Japan remains a challenge."
Politics,An Open Letter to Speaker John Boehner,"You are interfering with our democratic process in a blunt, unforgivable manner. I hope that our future leaders, whoever they may be, won't forget it.","An Open Letter to Speaker John Boehner You are interfering with our democratic process in a blunt, unforgivable manner. I hope that our future leaders, whoever they may be, won't forget it."
Politics,It's Incredibly Easy To Get Sick On The Campaign Trail,"If you kiss enough babies and do enough plane travel, you're going to get sick.","It's Incredibly Easy To Get Sick On The Campaign Trail If you kiss enough babies and do enough plane travel, you're going to get sick."
Tech,"If You Thought Your Morals Were Unshakeable, This Study Proves Otherwise",,"If You Thought Your Morals Were Unshakeable, This Study Proves Otherwise "
Sports,Fire In Rio Olympic Village Building Forces Evacuation Of Athletes,Stairwells of a building filled with smoke but no one was injured.,Fire In Rio Olympic Village Building Forces Evacuation Of Athletes Stairwells of a building filled with smoke but no one was injured.
Tech,Comcast And Netflix Make A Deal To End Traffic Jam,"At the same time, Federal regulators are wrestling with an issue known as ""Net neutrality"" concerning broadband providers","Comcast And Netflix Make A Deal To End Traffic Jam At the same time, Federal regulators are wrestling with an issue known as ""Net neutrality"" concerning broadband providers"
Health,"Happy New Year, Here I Come...",,"Happy New Year, Here I Come... "
Politics,First Impressions of the 2016 Field,"Jeb Bush gets early style points for taking on his critics about his support for comprehensive immigration reform, perhaps realizing he has already lost the Rush Limbaugh, Michael Savage, and Mark Levin talk radio primaries anyway.","First Impressions of the 2016 Field Jeb Bush gets early style points for taking on his critics about his support for comprehensive immigration reform, perhaps realizing he has already lost the Rush Limbaugh, Michael Savage, and Mark Levin talk radio primaries anyway."
Politics,We’re About To Find Out Whether House Democrats Mean What They Say On DACA,Democratic leaders are sending mixed messages on whether to oppose the budget deal.,We’re About To Find Out Whether House Democrats Mean What They Say On DACA Democratic leaders are sending mixed messages on whether to oppose the budget deal.
Business,Joint Venture: Business Agreement for International Trade,"You must keep in mind that a joint venture is particularly aimed at obtaining the respective commercial benefits, but does not include all business or economic activities of the participating members.","Joint Venture: Business Agreement for International Trade You must keep in mind that a joint venture is particularly aimed at obtaining the respective commercial benefits, but does not include all business or economic activities of the participating members."
Health,The Simple Difference: Close Cultural and Linguistic Gaps to Save Lives of Hispanics,Your life should not depend on your ability to understand the doctor's written instructions. Simply not having a Spanish-speaking health care provider answering critical care questions can mean a patient will suffer and likely die. This is a problem getting bigger every day.,The Simple Difference: Close Cultural and Linguistic Gaps to Save Lives of Hispanics Your life should not depend on your ability to understand the doctor's written instructions. Simply not having a Spanish-speaking health care provider answering critical care questions can mean a patient will suffer and likely die. This is a problem getting bigger every day.
Tech,"iPhone 6 Appears, Apple Television Doesn't And COLORS! This Week In Apple Rumors","Hello, ladies and gentlemen, and welcome to This Week In Apple Rumors, our regular look back at all of the week's unconfirmed","iPhone 6 Appears, Apple Television Doesn't And COLORS! This Week In Apple Rumors Hello, ladies and gentlemen, and welcome to This Week In Apple Rumors, our regular look back at all of the week's unconfirmed"
Health,Arianna's Third Metric: The Art of Viewing Life with a Wider Lens,"This is a blog series produced in partnership with One World, a video series with Deepak Chopra and NEWSWIRE.FM. To view","Arianna's Third Metric: The Art of Viewing Life with a Wider Lens This is a blog series produced in partnership with One World, a video series with Deepak Chopra and NEWSWIRE.FM. To view"
Health,Lights Go On -- Part VIII -- Feeling Love Toward...,Dear Cells -- how often do I look at you and feel what you're doing?,Lights Go On -- Part VIII -- Feeling Love Toward... Dear Cells -- how often do I look at you and feel what you're doing?
Tech,Polar Bears Meet For First Time And Become Instant BFFs,When Nobby met Nissan ...,Polar Bears Meet For First Time And Become Instant BFFs When Nobby met Nissan ...
Business,This Black Woman Is Turning The White Investing World On Its Head,Arlan Hamilton is investing in the brilliant startups traditional backers overlook.,This Black Woman Is Turning The White Investing World On Its Head Arlan Hamilton is investing in the brilliant startups traditional backers overlook.
Health,I Am The Girl With The Prozac Past,"Let’s just say I’m cautiously optimistic, at least today.","I Am The Girl With The Prozac Past Let’s just say I’m cautiously optimistic, at least today."
Entertainment,Deaf Activist Points Out That Marvel’s Diversity Problem Isn’t Just About Race,"“[People] think diversity has to do with race and gender, but there’s so much more to it.”","Deaf Activist Points Out That Marvel’s Diversity Problem Isn’t Just About Race “[People] think diversity has to do with race and gender, but there’s so much more to it.”"
Politics,Elizabeth Warren Calls For Investigation Of NY Fed Over Secret Tapes,,Elizabeth Warren Calls For Investigation Of NY Fed Over Secret Tapes 
Politics,See The Amazing Campaign Contortionists Twist The Finance Rules,"Trump, Clinton, Bush, Rubio: the top of the list for campaign finance creativity this year.","See The Amazing Campaign Contortionists Twist The Finance Rules Trump, Clinton, Bush, Rubio: the top of the list for campaign finance creativity this year."
Business,Ignore Bad Advice About Declining Stock Prices,"Not surprisingly, the market's volatility and rapid decline brought out the worst in the financial media. The amount of misinformation currently out there is staggering. I can only deal with the tip of the iceberg here.","Ignore Bad Advice About Declining Stock Prices Not surprisingly, the market's volatility and rapid decline brought out the worst in the financial media. The amount of misinformation currently out there is staggering. I can only deal with the tip of the iceberg here."
Health,To The Politicians Who Voted To Kill Me,I want you to know what it feels like when politicians prioritize their hatred of a president and a policy over your literal means to live.,To The Politicians Who Voted To Kill Me I want you to know what it feels like when politicians prioritize their hatred of a president and a policy over your literal means to live.
Entertainment,"Serena Williams' Baby Has An Instagram Account, And It's Our New Favorite Thing",This is too cute to handle.,"Serena Williams' Baby Has An Instagram Account, And It's Our New Favorite Thing This is too cute to handle."
Entertainment,Showing Up at the White House Unannounced,"No, Channing Tatum has never broken into The White House. At least not to my knowledge. Well, okay, he may have, I really don't know. The investigation is still ongoing, so I'll say that he could have, but probably didn't.","Showing Up at the White House Unannounced No, Channing Tatum has never broken into The White House. At least not to my knowledge. Well, okay, he may have, I really don't know. The investigation is still ongoing, so I'll say that he could have, but probably didn't."
Politics,Mystery As Five Czech Tourists Disappear In Lebanese Wine Country,"Five Czechs and their Lebanese driver are missing in Lebanon, a spokeswoman for the Czech foreign ministry said on Saturday","Mystery As Five Czech Tourists Disappear In Lebanese Wine Country Five Czechs and their Lebanese driver are missing in Lebanon, a spokeswoman for the Czech foreign ministry said on Saturday"
Business,5 Tech Companies With Fewer Workers Than HP Just Laid Off,Hewlett-Packard plans to lay off the equivalent of three Facebooks.,5 Tech Companies With Fewer Workers Than HP Just Laid Off Hewlett-Packard plans to lay off the equivalent of three Facebooks.
Entertainment,John Oliver Bought An Ad On 'Hannity' To Teach Basic Math To Trump,The catheter cowboy is back with an important message.,John Oliver Bought An Ad On 'Hannity' To Teach Basic Math To Trump The catheter cowboy is back with an important message.
Entertainment,Krysten Ritter Of 'Don't Trust The B' Stars In Jordan Galland's New Music Video,"For those unfamiliar with Krysten Ritter, she starred in the cut-too-short ABC comedy ""Don't Trust the B---- in Apartment","Krysten Ritter Of 'Don't Trust The B' Stars In Jordan Galland's New Music Video For those unfamiliar with Krysten Ritter, she starred in the cut-too-short ABC comedy ""Don't Trust the B---- in Apartment"
Tech,Neil deGrasse Tyson: Science Deniers In Power Are A Profound Threat To Democracy,"""You don't have the option to say you don't believe E=mc2. It's true whether or not you believe it.""","Neil deGrasse Tyson: Science Deniers In Power Are A Profound Threat To Democracy ""You don't have the option to say you don't believe E=mc2. It's true whether or not you believe it."""
Politics,Tennessee Attorney General Backs Off Threat Over DACA Protections For Dreamers,He also called for Congress to pass a bill allowing young undocumented immigrants to gain legal status.,Tennessee Attorney General Backs Off Threat Over DACA Protections For Dreamers He also called for Congress to pass a bill allowing young undocumented immigrants to gain legal status.
Business,The Job Market Is Still Years Away From A Full Recovery,,The Job Market Is Still Years Away From A Full Recovery 
Tech,Scientists Get First-Ever Glimpse Of Elusive Mineral,,Scientists Get First-Ever Glimpse Of Elusive Mineral 
Health,5 Ways to Succeed at Fulfilling Your Dream,Use the following five tricks to help you succeed in fulfilling your dreams.,5 Ways to Succeed at Fulfilling Your Dream Use the following five tricks to help you succeed in fulfilling your dreams.
Health,Surviving the Holidays With Allergies,Seasonal allergies don't need to ruin your holiday season. Being prepared and taking precaution can go a long way in the fight against your allergies.,Surviving the Holidays With Allergies Seasonal allergies don't need to ruin your holiday season. Being prepared and taking precaution can go a long way in the fight against your allergies.
Health,You're Wasting Time at the Gym,I have nothing against gyms. You just need to ensure that your daily physical activity is not reliant upon whether or not you can make it to the gym.,You're Wasting Time at the Gym I have nothing against gyms. You just need to ensure that your daily physical activity is not reliant upon whether or not you can make it to the gym.
Health,Get Over Your Fear Of Not Being Good Enough! (VIDEO),"For more by Brad Yates, click here. For more on becoming fearless, click here. [1] Dawson Church, Ph.D., et al. ""The Effect","Get Over Your Fear Of Not Being Good Enough! (VIDEO) For more by Brad Yates, click here. For more on becoming fearless, click here. [1] Dawson Church, Ph.D., et al. ""The Effect"
Entertainment,Here's What Happens When Nelly Furtado Hears Her Songs In The Supermarket,Let's just say it gets a bit awkward.,Here's What Happens When Nelly Furtado Hears Her Songs In The Supermarket Let's just say it gets a bit awkward.
Health,You Are Where You Eat,"You are not necessarily stuck with your food environment.  Lobby your workplace, school, neighborhood, or friends to more closely examine the food that's being offered.","You Are Where You Eat You are not necessarily stuck with your food environment.  Lobby your workplace, school, neighborhood, or friends to more closely examine the food that's being offered."
Entertainment,7 More Netflix Hacks To Make You A Binge-Watching Pro,,7 More Netflix Hacks To Make You A Binge-Watching Pro 
Politics,Leave Them to It: Some Geopolitical Reflections,"It's a tempting response to the latest act of barbarism in the Middle East, especially in the wake of the unending violence of sect upon sect, tribe upon tribe, nation upon nation: Leave them to it.  I've heard the sentiment expressed by a good number of friends.","Leave Them to It: Some Geopolitical Reflections It's a tempting response to the latest act of barbarism in the Middle East, especially in the wake of the unending violence of sect upon sect, tribe upon tribe, nation upon nation: Leave them to it.  I've heard the sentiment expressed by a good number of friends."
Tech,Facebook Is Testing Its Own Siri-Like Feature,"It's called ""M,"" and it might change how you use the popular social network.","Facebook Is Testing Its Own Siri-Like Feature It's called ""M,"" and it might change how you use the popular social network."
Sports,California Legislature Approves Ban On 'Redskins' Mascots,Four high schools would have to choose a new mascot under legislation passed Thursday.,California Legislature Approves Ban On 'Redskins' Mascots Four high schools would have to choose a new mascot under legislation passed Thursday.
Sports,Jessica Mendoza Joins ESPN's 'Sunday Night Baseball' Full-Time,Mendoza keeps making history!,Jessica Mendoza Joins ESPN's 'Sunday Night Baseball' Full-Time Mendoza keeps making history!
Health,"Sowing Smaller Government, Reaping... Salmonella?","""Smaller government"" makes a swell sound bite, because it sounds like standing up against waste, inefficiency, and the quagmire of bureaucracy.  But in the course of political harangues where sound bites prevail, it's often hard to tell exactly who is apt to get bitten.","Sowing Smaller Government, Reaping... Salmonella? ""Smaller government"" makes a swell sound bite, because it sounds like standing up against waste, inefficiency, and the quagmire of bureaucracy.  But in the course of political harangues where sound bites prevail, it's often hard to tell exactly who is apt to get bitten."
Health,Dealing With Love,"To love what we do, to love our life, to love other people, to love ourselves... Isn't that what we live for? How somber","Dealing With Love To love what we do, to love our life, to love other people, to love ourselves... Isn't that what we live for? How somber"
Politics,GOP Senators Want To Give The Rich Tax Breaks On The Backs Of Sick Americans,By Allegra Baider House and Senate Republicans are working on overdrive to accomplish a goal they share with President Trump,GOP Senators Want To Give The Rich Tax Breaks On The Backs Of Sick Americans By Allegra Baider House and Senate Republicans are working on overdrive to accomplish a goal they share with President Trump
Entertainment,Diamond Diana: Diana Ross Forever Shining,Diana Ross is a diamond. She shines. She's elegant. And she has stood the test of time. It's only fitting her new album release,Diamond Diana: Diana Ross Forever Shining Diana Ross is a diamond. She shines. She's elegant. And she has stood the test of time. It's only fitting her new album release
Entertainment,Trevor Noah Says Donald Trump's Missile Tweets Are A Blind-Date Offer,'The Daily Show' host urged the president to choose his words with less romance in mind.,Trevor Noah Says Donald Trump's Missile Tweets Are A Blind-Date Offer 'The Daily Show' host urged the president to choose his words with less romance in mind.
Health,The One Simple Thing That Will Make You Happier (VIDEO),"It's been said that ""Being happy is better than not being happy."" But just what is the key to happiness? According to ForHumanPeoples","The One Simple Thing That Will Make You Happier (VIDEO) It's been said that ""Being happy is better than not being happy."" But just what is the key to happiness? According to ForHumanPeoples"
Health,How Genes Can Influence Our Mood,,How Genes Can Influence Our Mood 
Business,"Medical Company Smith & Nephew Lays Off Almost 100 People, Blames Obamacare","The company is not the first to blame Obamacare for layoffs and other cuts in spending. In November, The Huffington Post","Medical Company Smith & Nephew Lays Off Almost 100 People, Blames Obamacare The company is not the first to blame Obamacare for layoffs and other cuts in spending. In November, The Huffington Post"
Sports,"Becky Hammon Keeps Killin' It, Will Be The First Woman To Coach All-Star Game",It's just the latest step in Hammon's historic career.,"Becky Hammon Keeps Killin' It, Will Be The First Woman To Coach All-Star Game It's just the latest step in Hammon's historic career."
Business,Remember the Old Days When Bad Guys Robbed Banks?,"It used to be that bad guys, called bank robbers, robbed banks. Now the banks are robbing us. Authorities just fined five of the world's largest global banks $5.7 billion for rigging benchmark interest rates. This brings the tally of fines assessed seven top banks in Europe and the US to roughly $10 billion.","Remember the Old Days When Bad Guys Robbed Banks? It used to be that bad guys, called bank robbers, robbed banks. Now the banks are robbing us. Authorities just fined five of the world's largest global banks $5.7 billion for rigging benchmark interest rates. This brings the tally of fines assessed seven top banks in Europe and the US to roughly $10 billion."
Sports,Suspended FIFA Executive On Investigation: ‘I’m Bullet Proof’,Michel Platini believes he could replace Sepp Blatter as FIFA President.,Suspended FIFA Executive On Investigation: ‘I’m Bullet Proof’ Michel Platini believes he could replace Sepp Blatter as FIFA President.
Politics,How Community Nonprofits Are Revolutionizing Services For Veterans,,How Community Nonprofits Are Revolutionizing Services For Veterans 
Politics,Cherokee Nation Will Now Recognize Same-Sex Marriage,"""The right to marry without the freedom to marry the person of one’s choice is no right at all,"" the tribe's attorney general wrote in his decision.","Cherokee Nation Will Now Recognize Same-Sex Marriage ""The right to marry without the freedom to marry the person of one’s choice is no right at all,"" the tribe's attorney general wrote in his decision."
Tech,"German Sounds Harsher Than Other Languages, And Here's Why (VIDEO)","One could even make a case that the video is simply perpetuating an old stereotype about spoken German. ""When people talk","German Sounds Harsher Than Other Languages, And Here's Why (VIDEO) One could even make a case that the video is simply perpetuating an old stereotype about spoken German. ""When people talk"
Politics,Omarosa Manigault Newman Denies She Was Fired From The White House,"The former ""Apprentice"" star slammed news outlets reporting otherwise.","Omarosa Manigault Newman Denies She Was Fired From The White House The former ""Apprentice"" star slammed news outlets reporting otherwise."
